stt,unnamed_1,lĩnh_vực,so_bien_nhan,ngày_tiếp_nhận,han_tra,kêt_qua,ten_co_so,ten_chu_co_so,dia_chi,phuong_xa,quan_huyen,so_gcn_dkkd,loai_hinh_co_so,so_gcn_attp,ngay_cap_gcn_attp,so_gcn_cap_lan_2,ngay_cap_lan_2,so_gcn_cap_dau_tien,ngay_cap_dau_tien,chuyen_vien_thu_ly,ten_co_so_norm,dia_chi_norm,quan_huyen_norm,phuong_xa_norm
77,,YT,04042226986,2022-12-20,2023-01-18,,đia điem kinh doanh chi nhanh cong ty tnhh đau tu jebs viet nam tai tp ho chi minh - nha hang pepper lunch giga mall,"chng choon loong, eugene","l2-06 - tang 3, trung tam thuong mai sense city pham van đong, 240-242 kha van can",hiep binh chanh,thu đuc,,kinh doanh dich vu an uong,77,2023-01-06,,,,,,đia điem kinh doanh chi nhanh cong ty tnhh đau tu jebs viet nam tai tp ho chi minh - nha hang pepper lunch giga mall,"l2-06 - tang 3, trung tam thuong mai sense city pham van đong, 240-242 kha van can",thu đuc,hiep binh chanh
78,,YT,04042226972,2022-12-20,2023-01-18,,đia điem kinh doanh đang van bi cong ty co phan thuc pham phuc loc tho,phan sy thi,"163 đang van bi, khu pho 5",truong tho,thu đuc,,kinh doanh dich vu an uong,78,2023-01-06,,,,,,đia điem kinh doanh đang van bi cong ty co phan thuc pham phuc loc tho,"163 đang van bi, khu pho 5",thu đuc,truong tho
79,,CT,h29.24-221220-0004,2022-12-21,2023-01-19,,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) - cua hang thuc pham tien loi satrafoods,tran quang thuan,1333 phan van tri,10,go vap,,ban le nhom san pham theo danh muc,79,2023-01-06,,,,,,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) - cua hang thuc pham tien loi satrafoods,1333 phan van tri,go vap,10
80,,CT,h29.24-221220-0012,2022-12-23,2023-01-30,,co.opsmile 72 đuong 17,le hung vinh,72 đuong 17,tan thuan tay,7,,ban le nhom san pham theo danh muc,80,2023-01-06,,,,,,co.opsmile 72 đuong 17,72 đuong 17,7,tan thuan tay
81,,NN,h29.24-221222-0006,2022-12-26,2023-01-17,,cong ty tnhh thit bo tin phuong,,so 36 đuong so 15,tan kieng,7,0315074703,kinh doanh thit bo,81,2023-01-06,,,,,,cong ty tnhh thit bo tin phuong,so 36 đuong so 15,7,tan kieng
82,,NN,h29.24.221222-0010,2022-12-23,2023-01-16,,ho kinh doanh 3b food,,71/3/2a phu tho hoa,phu tho hoa,tan phu,41X8044183,che bien: ga u muoi,82,2023-01-06,,,,,,ho kinh doanh 3b food,71/3/2a phu tho hoa,tan phu,phu tho hoa
83,,NN,h29.24-221208-0001,2022-12-23,2023-01-16,,ho kinh doanh thu loan,,287 nguyen thi nho,16,11,41K8019800,che bien heo quay,83,2023-01-06,,,,,,ho kinh doanh thu loan,287 nguyen thi nho,11,16
84,,NN,h29.24-221209-0001,2022-12-23,2023-01-16,,ho kinh doanh hoan phong,,65/18 phu tho,1,11,41K8025210,"che bien: cai chua, cha bong heo",84,2023-01-06,,,,,,ho kinh doanh hoan phong,65/18 phu tho,11,1
85,,CT,h29.24-221219-0008,2022-12-21,2023-01-19,,cua hang vissan - chi nhanh cong ty co phan viet nam ky nghe suc san - trung tam kinh doanh chuoi cua hang vissan,le thi hoang ngan,so 368 nguyen thi đinh,thanh my loi,thu đuc,,ban le nhom san pham theo danh muc,85,2023-01-06,,,,,,cua hang vissan - chi nhanh cong ty co phan viet nam ky nghe suc san - trung tam kinh doanh chuoi cua hang vissan,so 368 nguyen thi đinh,thu đuc,thanh my loi
86,,"CT, NN",h29.24-221220-0002,2022-12-20,2023-01-30,,cong ty tnhh mot thanh vien nha hang hoang yen-đia điem kinh doanh bep trung tam hoang yen,nguyen khanh son,66i/32 đuong go cat,phu huu,thu đuc,,"san xuat cac loai banh tu bot (tru banh trung thu); che bien: nuoc sot, nuoc lau, mon an san",86,2023-01-06,,,,,,cong ty tnhh mot thanh vien nha hang hoang yen-đia điem kinh doanh bep trung tam hoang yen,66i/32 đuong go cat,thu đuc,phu huu
87,,CT,h29.24-221220-0003,2022-12-23,2023-01-30,,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) - cua hang thuc pham tien loi satrafoods,tran quang thuan,52 da nam,2,8,,ban le nhom san pham theo danh muc,87,2023-01-06,,,,,,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) - cua hang thuc pham tien loi satrafoods,52 da nam,8,2
88,,NN,h29.24-221214-0004,2022-12-21,2023-01-16,,ho kinh doanh co so ca phe ha gia,,"74/9 đuong so 7, khu pho 3",linh trung,thu đuc,41Q8019658,"rang, xay, đong goi ca phe",88,2023-01-06,,,,,,ho kinh doanh co so ca phe ha gia,"74/9 đuong so 7, khu pho 3",thu đuc,linh trung
89,,CT,h29.24-221222-0011,2022-12-23,2023-01-30,,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh so 268,nong van dung,"143 - 145 đuong linh đong, khu pho 4",linh đong,thu đuc,,ban le nhom san pham theo danh muc,89,2023-01-06,,,,,,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh so 268,"143 - 145 đuong linh đong, khu pho 4",thu đuc,linh đong
90,,"CT, YT",h29.24-221208-0007,2022-12-23,2023-01-30,,đia điem kinh doanh so 234 - cong ty tnhh gs25 vietnam,mai thuy nhan,"tang 1 va tang 2, so 65 đuong tran thi nghi",7,go vap,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,90,2023-01-09,,,,,,đia điem kinh doanh so 234 - cong ty tnhh gs25 vietnam,"tang 1 va tang 2, so 65 đuong tran thi nghi",go vap,7
91,,"CT, YT",h29.24-221215-0007,2022-12-23,2023-01-30,,đia điem kinh doanh so 228 - cong ty tnhh gs25 vietnam,mai thuy nhan,so 366a28 đuong phan van tri,5,go vap,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,91,2023-01-09,,,,,,đia điem kinh doanh so 228 - cong ty tnhh gs25 vietnam,so 366a28 đuong phan van tri,go vap,5
92,,CT,h29.24-221219-0006,2022-12-23,2023-01-30,,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh so 91,nong van dung,80 – 82 – 84 – 86 le van tho,11,go vap,,ban le nhom san pham theo danh muc,92,2023-01-09,,,,,,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh so 91,80 – 82 – 84 – 86 le van tho,go vap,11
93,,CT,h29.24-221219-0003,2022-12-23,2023-01-30,,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh so 260,nong van dung,"so 415 - 417 quoc lo 22, ap phuoc hoa",phuoc hiep,cu chi,,ban le nhom san pham theo danh muc,93,2023-01-09,,,,,,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh so 260,"so 415 - 417 quoc lo 22, ap phuoc hoa",cu chi,phuoc hiep
94,,CT,h29.24-221219-0004,2022-12-23,2023-01-30,,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh so 278,nong van dung,"1391 tinh lo 7, ap cho cu 2",an nhon tay,cu chi,,ban le nhom san pham theo danh muc,94,2023-01-09,,,,,,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh so 278,"1391 tinh lo 7, ap cho cu 2",cu chi,an nhon tay
95,,NN,h29.24-221220-0006,2022-12-23,2023-01-17,,ho kinh doanh co so cao bang giai giai,,"so 240, quoc lo 22, ap hau",tan thong hoi,cu chi,41R8017717,che bien rau cau,95,2023-01-09,,,,,,ho kinh doanh co so cao bang giai giai,"so 240, quoc lo 22, ap hau",cu chi,tan thong hoi
96,,CT,h29.24-221220-0005,2022-12-21,2023-01-30,,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) – cua hang thuc pham tien loi satrafoods,tran quang thuan,"143 le thi ha, ap đinh",tan xuan,hoc mon,,ban le nhom san pham theo danh muc,96,2023-01-09,,,,,,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) – cua hang thuc pham tien loi satrafoods,"143 le thi ha, ap đinh",hoc mon,tan xuan
97,,NN,h29.24221226-0002,2022-12-28,2023-01-19,,cong ty tnhh tm - dv thien bao,,92/12a nguyen son,phu tho hoa,tan phu,0316114211,"kinh doanh: thit đong lanh, thuy san đong lanh, rau, cu, qua",97,2023-01-09,,,,,,cong ty tnhh tm - dv thien bao,92/12a nguyen son,tan phu,phu tho hoa
98,,NN,h29.24221222-0004,2022-12-26,2023-01-17,,ho kinh doanh co so thuc pham toan cau,,267 tan son nhi,tan son nhi,tan phu,41X8036669,"pha loc, đong goi: thit bo, thit heo",98,2023-01-09,,,,,,ho kinh doanh co so thuc pham toan cau,267 tan son nhi,tan phu,tan son nhi
99,,YT,h29.24-221224-0001,2022-12-27,2023-02-01,,đia điem kinh doanh cong ty co phan orc coffee passion group – amz_492ntp,nguyen huynh khoa,492 nguyen tri phuong,9,10,,kinh doanh dich vu an uong,99,2023-01-09,,,,,,đia điem kinh doanh cong ty co phan orc coffee passion group – amz_492ntp,492 nguyen tri phuong,10,9
100,,YT,h29.24-221221-0006,2022-12-23,2023-01-30,,nha hang tan lac vien,đoan ngoc thu,1191-1193-1195-1197-1199 đuong 3/2,6,11,,kinh doanh dich vu an uong,100,2023-01-09,,,,,,nha hang tan lac vien,1191-1193-1195-1197-1199 đuong 3/2,11,6
101,,YT,04042226893,2023-01-04,2023-02-08,,chi nhanh 1 - cong ty tnhh thuong mai dich vu ben house,le thi mai thao,43/19 hoang dieu,13,4,,kinh doanh dich vu an uong,101,2023-01-09,,,,,,chi nhanh 1 - cong ty tnhh thuong mai dich vu ben house,43/19 hoang dieu,4,13
102,,YT,04042227097,2022-12-23,2023-01-30,,đia điem kinh doanh cong ty tnhh thuong mai dich vu huy & huy,nguyen thi tan,111 luong ngoc quyen,5,go vap,,kinh doanh dich vu an uong,102,2023-01-09,,,,,,đia điem kinh doanh cong ty tnhh thuong mai dich vu huy & huy,111 luong ngoc quyen,go vap,5
103,,YT,04042227067,2022-12-26,2023-01-31,,đia điem kinh doanh so 100 - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai dich vu taco viet nam,truong thi thanh huyen,163c xom chieu,16,4,,kinh doanh dich vu an uong,103,2023-01-09,,,,,,đia điem kinh doanh so 100 - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai dich vu taco viet nam,163c xom chieu,4,16
104,,YT,04042227006,2022-12-23,2023-01-30,,đia điem kinh doanh cong ty tnhh thuong mai dich vu shadow,nguyen thuy phuong anh,244 pasteur,vo thi sau,3,,kinh doanh dich vu an uong,104,2023-01-09,,,,,,đia điem kinh doanh cong ty tnhh thuong mai dich vu shadow,244 pasteur,3,vo thi sau
105,,YT,04042227044,2022-12-23,2023-01-30,,đia điem kinh doanh cafe katinat đang van bi- cong ty co phan cafe katinat,đinh viet ha,"168 đang van bi, khu pho 1",binh tho,thu đuc,,kinh doanh dich vu an uong,105,2023-01-09,,,,,,đia điem kinh doanh cafe katinat đang van bi- cong ty co phan cafe katinat,"168 đang van bi, khu pho 1",thu đuc,binh tho
106,,YT,04042226892,2022-12-20,2023-01-18,,đia điem kinh doanh so 105 - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai dich vu taco viet nam,truong thi thanh huyen,"12 le van khuong, khu pho 1",thoi an,12,,kinh doanh dich vu an uong,106,2023-01-09,,,,,,đia điem kinh doanh so 105 - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai dich vu taco viet nam,"12 le van khuong, khu pho 1",12,thoi an
107,,YT,04042226900,2022-12-20,2023-01-18,,cong ty tnhh nha hang am thuc đao ngoc,le van chuong,"89 nguyen thi bup, khu pho 11",tan chanh hiep,12,,kinh doanh dich vu an uong,107,2023-01-09,,,,,,cong ty tnhh nha hang am thuc đao ngoc,"89 nguyen thi bup, khu pho 11",12,tan chanh hiep
108,,YT,04042227004,2022-12-20,2023-01-18,,cong ty tnhh song xua,nguyen thi kim loan,806/19 ha huy giap,thanh loc,12,,kinh doanh dich vu an uong,108,2023-01-09,,,,,,cong ty tnhh song xua,806/19 ha huy giap,12,thanh loc
109,,YT,04042226106,2023-01-04,2023-02-08,,đia điem kinh doanh ch0003- cong ty tnhh thuong mai sasin,đo xuan tuan,11 nguyen gia tri,25,binh thanh,,kinh doanh dich vu an uong,109,2023-01-09,,,,,,đia điem kinh doanh ch0003- cong ty tnhh thuong mai sasin,11 nguyen gia tri,binh thanh,25
110,,YT,04042226902,2023-01-04,2023-02-07,,cong ty co phan thuong mai hai san hai chau,ngo đuc trong,67 nguyen huu canh,22,binh thanh,,kinh doanh dich vu an uong,110,2023-01-09,,,,,,cong ty co phan thuong mai hai san hai chau,67 nguyen huu canh,binh thanh,22
111,,YT,04042227035,2022-12-22,2023-01-20,,cong ty co phan sim food,tran thi thuy,"p2-sh.05a toa park 2 vinhomes central park, 720a đien bien phu",22,binh thanh,,kinh doanh dich vu an uong,111,2023-01-09,,,,,,cong ty co phan sim food,"p2-sh.05a toa park 2 vinhomes central park, 720a đien bien phu",binh thanh,22
112,,YT,04042226551,2022-12-22,2023-01-20,,cong ty tnhh hilala,đo nguyen lan anh,so 9 hoang hoa tham,6,binh thanh,,kinh doanh dich vu an uong,112,2023-01-09,,,,,,cong ty tnhh hilala,so 9 hoang hoa tham,binh thanh,6
113,,YT,04042226532,2023-01-04,2023-02-08,,đia điem kinh doanh cong ty tnhh kien nguyen decor - cua hang 313c trinh đinh trong,tran thi xuan mai,313c trinh đinh trong,hoa thanh,tan phu,,kinh doanh dich vu an uong,113,2023-01-09,,,,,,đia điem kinh doanh cong ty tnhh kien nguyen decor - cua hang 313c trinh đinh trong,313c trinh đinh trong,tan phu,hoa thanh
114,,YT,04042227068,2022-12-26,2023-01-31,,đia điem kinh doanh so 103 - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai dich vu taco viet nam,truong thi thanh huyen,d32 cu xa phu lam b,13,6,,kinh doanh dich vu an uong,114,2023-01-09,,,,,,đia điem kinh doanh so 103 - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai dich vu taco viet nam,d32 cu xa phu lam b,6,13
115,,YT,04042227011,2022-12-23,2023-01-30,,đia điem kinh doanh 01 - cong ty tnhh thuong mai dich vu kiwi,le hoang,487 nguyen tri phuong,8,10,,kinh doanh dich vu an uong,115,2023-01-09,,,,,,đia điem kinh doanh 01 - cong ty tnhh thuong mai dich vu kiwi,487 nguyen tri phuong,10,8
116,,YT,04042227080,2022-12-22,2023-01-20,,cong ty tnhh thuong mai dich vu biyoki,nguyen thi thanh hang,so 304 minh phung,2,11,,kinh doanh dich vu an uong,116,2023-01-09,,,,,,cong ty tnhh thuong mai dich vu biyoki,so 304 minh phung,11,2
117,,YT,04042227121,2022-12-27,2023-02-01,,đia điem kinh doanh cong ty co phan ca phe phoenix group - quan ca phe phoenix 1,tran huu tung,39 đuong so 3,binh hung hoa b,binh tan,,kinh doanh dich vu an uong,117,2023-01-09,,,,,,đia điem kinh doanh cong ty co phan ca phe phoenix group - quan ca phe phoenix 1,39 đuong so 3,binh tan,binh hung hoa b
118,,YT,04042227032,2023-12-22,2023-01-20,,nha hang pizza hut - le trong tan,lin keng chor,so 702-702 a le trong tan,binh hung hoa,binh tan,,kinh doanh dich vu an uong,118,2023-01-09,,,,,,nha hang pizza hut - le trong tan,so 702-702 a le trong tan,binh tan,binh hung hoa
119,,YT,04042226373,2023-01-04,2023-02-08,,cong ty tnhh o.bong.zip,park kiwan,so 28 đuong so 6 khu pho hung vuong ii,tan phong,7,,kinh doanh dich vu an uong,119,2023-01-09,,,,,,cong ty tnhh o.bong.zip,so 28 đuong so 6 khu pho hung vuong ii,7,tan phong
120,,YT,04042227070,2022-12-23,2023-01-30,,cua hang lotteria le quang đinh,lee woo ju,346b le quang đinh,11,binh thanh,,kinh doanh dich vu an uong,120,2023-01-09,,,,,,cua hang lotteria le quang đinh,346b le quang đinh,binh thanh,11
121,,YT,04042227084,2022-12-26,2023-01-31,,đia điem kinh doanh cua cong ty tnhh jollibee viet nam – cua hang thuc an nhanh jollibee au co,lam hong nguyen,650 đuong au co,10,tan binh,,kinh doanh dich vu an uong,121,2023-01-09,,,,,,đia điem kinh doanh cua cong ty tnhh jollibee viet nam – cua hang thuc an nhanh jollibee au co,650 đuong au co,tan binh,10
122,,YT,04042226744,2023-01-04,2023-02-08,,đia điem kinh doanh - cong ty tnhh te te & phe quan,nguyen thuy hong hai,"tang tret - tang 1, 186 đang van ngu",13,phu nhuan,,kinh doanh dich vu an uong,122,2023-01-09,,,,,,đia điem kinh doanh - cong ty tnhh te te & phe quan,"tang tret - tang 1, 186 đang van ngu",phu nhuan,13
123,,YT,04042227052,2022-12-21,2023-01-19,,ho kinh doanh banh yeu,truong thi hoa,"79/1 đuong ba điem 5, ap tay lan",ba điem,hoc mon,,"chiet rot, đong goi huong lieu thuc pham",123,2023-01-09,,,,,,ho kinh doanh banh yeu,"79/1 đuong ba điem 5, ap tay lan",hoc mon,ba điem
124,,YT,04042226678,2022-12-22,2023-01-20,,chi nhanh huyen hoc mon tai thanh pho ho chi minh cong ty tnhh san xuat - thuong mai- cong nghe xuat nhap khau minh kiem,le trong can,"15/1e, ap tam đong 1",thoi tam thon,hoc mon,,san xuat nuoc uong đong binh,124,2023-01-09,,,,,,chi nhanh huyen hoc mon tai thanh pho ho chi minh cong ty tnhh san xuat - thuong mai- cong nghe xuat nhap khau minh kiem,"15/1e, ap tam đong 1",hoc mon,thoi tam thon
125,,YT,04042226498,2023-01-03,2023-02-06,,chi nhanh so 2 - cong ty co phan cung ung thuc pham jetcatering,nguyen ngoc hien,371 nguyen kiem,3,go vap,,kinh doanh dich vu an uong,125,2023-01-09,,,,,,chi nhanh so 2 - cong ty co phan cung ung thuc pham jetcatering,371 nguyen kiem,go vap,3
126,,YT,04042227008,2022-12-22,2023-01-20,,chi nhanh cong ty tnhh dich vu suju,vu trong nghia,"tang 8, 149 - 151 nguyen du",ben thanh,1,,kinh doanh dich vu an uong,126,2023-01-09,,,,,,chi nhanh cong ty tnhh dich vu suju,"tang 8, 149 - 151 nguyen du",1,ben thanh
127,,YT,04042227007,2022-12-23,2023-01-30,,đia điem kinh doanh 2 - cong ty tnhh tokyo land f&b,takayama kazunori,7/1 le thanh ton,ben nghe,1,,kinh doanh dich vu an uong,127,2023-01-09,,,,,,đia điem kinh doanh 2 - cong ty tnhh tokyo land f&b,7/1 le thanh ton,1,ben nghe
128,,YT,04042226730,2022-12-23,2023-01-30,,đia điem kinh doanh - cong ty tnhh thuong mai dich vu san xuat product progression internationl - xuong đong goi thuc pham,truong vanh khuyen,179 phong phu,11,8,,"phoi tron, đong goi: nguyen lieu thuc pham, phu gia thuc pham",128,2023-01-09,,,,,,đia điem kinh doanh - cong ty tnhh thuong mai dich vu san xuat product progression internationl - xuong đong goi thuc pham,179 phong phu,8,11
129,,YT,04042227100,2022-12-28,2023-02-02,,cong ty tnhh work easy,le huynh mai,"phong 201, tang 2, toa nha saigon paragon, so 3 nguyen luong bang",tan phu,7,,kinh doanh dich vu an uong,129,2023-01-09,,,,,,cong ty tnhh work easy,"phong 201, tang 2, toa nha saigon paragon, so 3 nguyen luong bang",7,tan phu
130,,YT,04042227034,2022-12-26,2023-01-31,,runam - art of gifting - đia điem kinh doanh chi nhanh 7 cong ty co phan niso,nguyen huu tuong,135 hai ba trung,ben nghe,1,,kinh doanh dich vu an uong,130,2023-01-09,,,,,,runam - art of gifting - đia điem kinh doanh chi nhanh 7 cong ty co phan niso,135 hai ba trung,1,ben nghe
131,,YT,04042227049,2022-12-27,2023-02-01,,chi nhanh cong ty tnhh lefe,nguyen tran dung,"tang 5, so 8a/a23 thai van lung",ben nghe,1,,kinh doanh dich vu an uong,131,2023-01-09,,,,,,chi nhanh cong ty tnhh lefe,"tang 5, so 8a/a23 thai van lung",1,ben nghe
132,,YT,04042227126,2022-12-27,2023-02-01,,cong ty tnhh thuong mai va dich vu regal,pham truong thanh,29 le thanh ton,ben nghe,1,,kinh doanh dich vu an uong,132,2023-01-09,,,,,,cong ty tnhh thuong mai va dich vu regal,29 le thanh ton,1,ben nghe
133,,YT,04042227064,2022-12-27,2023-02-01,,chi nhanh cong ty tnhh thuong mai - dich vu - nha hang giai đieu moi-nha hang voxxy,nguyen tan quoc,62/48/1 tran hung đao,pham ngu lao,1,,kinh doanh dich vu an uong,133,2023-01-09,,,,,,chi nhanh cong ty tnhh thuong mai - dich vu - nha hang giai đieu moi-nha hang voxxy,62/48/1 tran hung đao,1,pham ngu lao
134,,YT,04042226966,2023-01-04,2023-02-08,,chi nhanh cong ty tnhh xay dung kinh doanh nha va khach san thai binh,diep thi kim mai,01 pham viet chanh,nguyen cu trinh,1,,kinh doanh dich vu an uong,134,2023-01-09,,,,,,chi nhanh cong ty tnhh xay dung kinh doanh nha va khach san thai binh,01 pham viet chanh,1,nguyen cu trinh
135,,YT,04042226920,2023-01-04,2023-02-08,,cong ty tnhh nha hang co bong,nguyen thu ha,31 tran hung đao,nguyen thai binh,1,,kinh doanh dich vu an uong,135,2023-01-09,,,,,,cong ty tnhh nha hang co bong,31 tran hung đao,1,nguyen thai binh
136,,YT,04042227143,2022-12-26,2023-01-31,,cong ty tnhh daco green,hoang sao xinh,"sav.2-00.04 tang tret, thap 2, the sun avenue, so 28 đai lo mai chi tho",an phu,thu đuc,,kinh doanh dich vu an uong,136,2023-01-09,,,,,,cong ty tnhh daco green,"sav.2-00.04 tang tret, thap 2, the sun avenue, so 28 đai lo mai chi tho",thu đuc,an phu
137,,YT,04042227152,2022-12-27,2023-02-01,,đia điem kinh doanh cong ty tnhh global fresh meat - bbq plan k,le nhu uyen,175 đuong xa lo ha noi,thao đien,thu đuc,,kinh doanh dich vu an uong,137,2023-01-09,,,,,,đia điem kinh doanh cong ty tnhh global fresh meat - bbq plan k,175 đuong xa lo ha noi,thu đuc,thao đien
138,,YT,04042226823,2022-12-27,2023-02-01,,cong ty tnhh momiji - la phong,nguyen tran nhat quynh,so 4 le van mien,thao đien,thu đuc,,kinh doanh dich vu an uong,138,2023-01-09,,,,,,cong ty tnhh momiji - la phong,so 4 le van mien,thu đuc,thao đien
139,,YT,04042227081,2022-12-27,2023-02-01,,cong ty tnhh thuong mai xuat nhap khau tam binh an,nguyen van huong,"tang tret, cao oc an khanh, 52 song hanh",an phu,thu đuc,,kinh doanh dich vu an uong,139,2023-01-09,,,,,,cong ty tnhh thuong mai xuat nhap khau tam binh an,"tang tret, cao oc an khanh, 52 song hanh",thu đuc,an phu
140,,YT,04042227039,2022-12-26,2023-01-31,,đia điem kinh doanh wayne's coffee mizuki - cong ty co phan arya consumer,đinh nguyen dung,"23, đuong so 4, khu dan cu nguyen son, ap 3a",binh hung,binh chanh,,kinh doanh dich vu an uong,140,2023-01-09,,,,,,đia điem kinh doanh wayne's coffee mizuki - cong ty co phan arya consumer,"23, đuong so 4, khu dan cu nguyen son, ap 3a",binh chanh,binh hung
