stt,unnamed_1,linh_vuc,so_tiep_nhan,ngay_tiep_nhan,han_tra,ket_qua,ten_co_so,chu_co_so,đia_chi,tpphuongxathi_xathi_tran,quan_huyen,so_gcn_đkkd,loai_hinh_kinh_doanh,so_gcn_cap_moi_nhat,ngay_cap_moi_nhat,so_gcn_cap_lan_2,ngay_cap_lan_2,so_gcn_cap_đau_tien,ngay_cap,chuyen_vien_thu_ly,tinh_thanh
77,,YT,4042226986.0,2022-12-20,2023-01-18,,ĐỊA ĐIỂM KINH DOANH CHI NHÁNH CÔNG TY TNHH ĐẦU TƯ JEBS VIỆT NAM TẠI TP HỒ CHÍ MINH - NHÀ HÀNG PEPPER LUNCH GIGA MALL,"CHNG CHOON LOONG, EUGENE","L2-06 - Tầng 3, Trung Tâm Thương Mại Sense City Phạm Văn Đồng, 240-242 Kha Vạn Cân",Hiệp Bình Chánh,Thủ Đức,,Kinh doanh dịch vụ ăn uống,77,2023-01-06,,,,,,Ho Chi Minh
78,,YT,4042226972.0,2022-12-20,2023-01-18,,ĐỊA ĐIỂM KINH DOANH ĐẶNG VĂN BI CÔNG TY CỔ PHẦN THỰC PHẨM PHÚC LỘC THỌ,PHAN SỸ THI,"163 Đặng Văn Bi, Khu phố 5",Trường Thọ,Thủ Đức,,Kinh doanh dịch vụ ăn uống,78,2023-01-06,,,,,,Ho Chi Minh
79,,CT,,2022-12-21,2023-01-19,,CHI NHÁNH TỔNG CÔNG TY THƯƠNG MẠI SÀI GÒN - TNHH MỘT THÀNH VIÊN - TRUNG TÂM ĐIỀU HÀNH CỬA HÀNG TIỆN LỢI SATRA (SATRAFOODS) - CỬA HÀNG THỰC PHẨM TIỆN LỢI SATRAFOODS,TRẦN QUANG THUẬN,1333 Phan Văn Trị,10,Gò Vấp,,Bán lẻ nhóm sản phẩm theo danh mục,79,2023-01-06,,,,,,Ho Chi Minh
80,,CT,,2022-12-23,2023-01-30,,CO.OPSMILE 72 ĐƯỜNG 17,LÊ HƯNG VĨNH,72 Đường 17,Tân Thuận Tây,7,,Bán lẻ nhóm sản phẩm theo danh mục,80,2023-01-06,,,,,,Ho Chi Minh
81,,NN,,2022-12-26,2023-01-17,,CÔNG TY TNHH THỊT BÒ TÍN PHƯƠNG,,Số 36 Đường số 15,Tân Kiểng,7,315074703.0,Kinh doanh thịt bò,81,2023-01-06,,,,,,Ho Chi Minh
82,,NN,,2022-12-23,2023-01-16,,HỘ KINH DOANH 3B FOOD,,71/3/2A Phú Thọ Hòa,Phú Thọ Hòa,Tân Phú,,Chế biến: gà ủ muối,82,2023-01-06,,,,,,Ho Chi Minh
83,,NN,,2022-12-23,2023-01-16,,HỘ KINH DOANH THU LOAN,,287 Nguyễn Thị Nhỏ,16,11,,Chế biến heo quay,83,2023-01-06,,,,,,Ho Chi Minh
84,,NN,,2022-12-23,2023-01-16,,HỘ KINH DOANH HOÀN PHONG,,65/18 Phú Thọ,1,11,,"Chế biến: cải chua, chà bông heo",84,2023-01-06,,,,,,Ho Chi Minh
85,,CT,,2022-12-21,2023-01-19,,CỬA HÀNG VISSAN - CHI NHÁNH CÔNG TY CỔ PHẦN VIỆT NAM KỸ NGHỆ SÚC SẢN - TRUNG TÂM KINH DOANH CHUỔI CỬA HÀNG VISSAN,LÊ THỊ HOÀNG NGÂN,Số 368 Nguyễn Thị Định,Thạnh Mỹ Lợi,Thủ Đức,,Bán lẻ nhóm sản phẩm theo danh mục,85,2023-01-06,,,,,,Ho Chi Minh
86,,"CT, NN",,2022-12-20,2023-01-30,,CÔNG TY TNHH MỘT THÀNH VIÊN NHÀ HÀNG HOÀNG YẾN-ĐỊA ĐIỂM KINH DOANH BẾP TRUNG TÂM HOÀNG YẾN,NGUYỄN KHÁNH SƠN,66I/32 đường Gò Cát,Phú Hữu,Thủ Đức,,"Sản xuất các loại bánh từ bột (trừ bánh trung thu); chế biến: nước sốt, nước lẩu, món ăn sẵn
",86,2023-01-06,,,,,,Ho Chi Minh
87,,CT,,2022-12-23,2023-01-30,,CHI NHÁNH TỔNG CÔNG TY THƯƠNG MẠI SÀI GÒN - TNHH MỘT THÀNH VIÊN - TRUNG TÂM ĐIỀU HÀNH CỬA HÀNG TIỆN LỢI SATRA (SATRAFOODS) - CỬA HÀNG THỰC PHẨM TIỆN LỢI SATRAFOODS,TRẦN QUANG THUẬN,52 Dạ Nam,2,8,,Bán lẻ nhóm sản phẩm theo danh mục,87,2023-01-06,,,,,,Ho Chi Minh
88,,NN,,2022-12-21,2023-01-16,,HỘ KINH DOANH CƠ SỞ CÀ PHÊ HÀ GIA,,"74/9 Đường số 7, Khu phố 3",Linh Trung,Thủ Đức,,"Rang, xay, đóng gói cà phê",88,2023-01-06,,,,,,Ho Chi Minh
89,,CT,,2022-12-23,2023-01-30,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN THƯƠNG MẠI BÁCH HÓA XANH - CỬA HÀNG BÁCH HÓA XANH SỐ 268,NÔNG VĂN DŨNG,"143 - 145 Đường Linh Đông, Khu phố 4",Linh Đông,Thủ Đức,,Bán lẻ nhóm sản phẩm theo danh mục,89,2023-01-06,,,,,,Ho Chi Minh
90,,"CT, YT",,2022-12-23,2023-01-30,,ĐỊA ĐIỂM KINH DOANH SỐ 234 - CÔNG TY TNHH GS25 VIETNAM,MAI THỤY NHÂN,"Tầng 1 và Tầng 2, Số 65 Đường Trần Thị Nghỉ",7,Gò Vấp,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,90,2023-01-09,,,,,,Ho Chi Minh
91,,"CT, YT",,2022-12-23,2023-01-30,,ĐỊA ĐIỂM KINH DOANH SỐ 228 - CÔNG TY TNHH GS25 VIETNAM,MAI THỤY NHÂN,Số 366A28 Đường Phan Văn Trị,5,Gò Vấp,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,91,2023-01-09,,,,,,Ho Chi Minh
92,,CT,,2022-12-23,2023-01-30,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN THƯƠNG MẠI BÁCH HÓA XANH - CỬA HÀNG BÁCH HÓA XANH SỐ 91,NÔNG VĂN DŨNG,80 – 82 – 84 – 86 Lê Văn Thọ,11,Gò Vấp,,Bán lẻ nhóm sản phẩm theo danh mục,92,2023-01-09,,,,,,Ho Chi Minh
93,,CT,,2022-12-23,2023-01-30,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN THƯƠNG MẠI BÁCH HÓA XANH - CỬA HÀNG BÁCH HÓA XANH SỐ 260,NÔNG VĂN DŨNG,"Số 415 - 417 Quốc lộ 22, Ấp Phước Hòa",Phước Hiệp,Củ Chi,,Bán lẻ nhóm sản phẩm theo danh mục,93,2023-01-09,,,,,,Ho Chi Minh
94,,CT,,2022-12-23,2023-01-30,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN THƯƠNG MẠI BÁCH HÓA XANH - CỬA HÀNG BÁCH HÓA XANH SỐ 278,NÔNG VĂN DŨNG,"1391 Tỉnh Lộ 7, Ấp Chợ Cũ 2",An Nhơn Tây,Củ Chi,,Bán lẻ nhóm sản phẩm theo danh mục,94,2023-01-09,,,,,,Ho Chi Minh
95,,NN,,2022-12-23,2023-01-17,,HỘ KINH DOANH CƠ SỞ CAO BẰNG GIAI GIAI,,"Số 240, Quốc lộ 22, ấp Hậu",Tân Thông Hội,Củ Chi,,Chế biến rau câu,95,2023-01-09,,,,,,Ho Chi Minh
96,,CT,,2022-12-21,2023-01-30,,CHI NHÁNH TỔNG CÔNG TY THƯƠNG MẠI SÀI GÒN - TNHH MỘT THÀNH VIÊN - TRUNG TÂM ĐIỀU HÀNH CỬA HÀNG TIỆN LỢI SATRA (SATRAFOODS) – CỬA HÀNG THỰC PHẨM TIỆN LỢI SATRAFOODS,TRẦN QUANG THUẬN,"143 Lê Thị Hà, Ấp Đình",Tân Xuân,Hóc Môn,,Bán lẻ nhóm sản phẩm theo danh mục,96,2023-01-09,,,,,,Ho Chi Minh
97,,NN,,2022-12-28,2023-01-19,,CÔNG TY TNHH TM - DV THIÊN BẢO,,92/12A Nguyễn Sơn,Phú Thọ Hòa,Tân Phú,316114211.0,"Kinh doanh: thịt đông lạnh, thủy sản đông lạnh, rau, củ, quả",97,2023-01-09,,,,,,Ho Chi Minh
98,,NN,,2022-12-26,2023-01-17,,HỘ KINH DOANH CƠ SỞ THỰC PHẨM TOÀN CẦU,,267 Tân Sơn Nhì,Tân Sơn Nhì,Tân Phú,,"Pha lóc, đóng gói: thịt bò, thịt heo",98,2023-01-09,,,,,,Ho Chi Minh
99,,YT,,2022-12-27,2023-02-01,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN ORC COFFEE PASSION GROUP – AMZ_492NTP,NGUYỄN HUỲNH KHOA,492 Nguyễn Tri Phương,9,10,,Kinh doanh dịch vụ ăn uống,99,2023-01-09,,,,,,Ho Chi Minh
100,,YT,,2022-12-23,2023-01-30,,NHÀ HÀNG TÂN LẠC VIÊN,ĐOÀN NGỌC THU,1191-1193-1195-1197-1199 đường 3/2,6,11,,Kinh doanh dịch vụ ăn uống,100,2023-01-09,,,,,,Ho Chi Minh
101,,YT,4042226893.0,2023-01-04,2023-02-08,,CHI NHÁNH 1 - CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ BEN HOUSE	,LÊ THỊ MAI THẢO,43/19 Hoàng Diệu,13,4,,Kinh doanh dịch vụ ăn uống,101,2023-01-09,,,,,,Ho Chi Minh
102,,YT,4042227097.0,2022-12-23,2023-01-30,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HUY & HUY,NGUYỄN THỊ TẤN,111 Lương Ngọc Quyến,5,Gò Vấp,,Kinh doanh dịch vụ ăn uống,102,2023-01-09,,,,,,Ho Chi Minh
103,,YT,4042227067.0,2022-12-26,2023-01-31,,ĐỊA ĐIỂM KINH DOANH SỐ 100 - CHI NHÁNH TẠI THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ TACO VIỆT NAM ,TRƯƠNG THỊ THANH HUYỀN,163C Xóm Chiếu,16,4,,Kinh doanh dịch vụ ăn uống,103,2023-01-09,,,,,,Ho Chi Minh
104,,YT,4042227006.0,2022-12-23,2023-01-30,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SHADOW,NGUYỄN THỤY PHƯƠNG ANH,244 Pasteur,Võ Thị Sáu,3,,Kinh doanh dịch vụ ăn uống,104,2023-01-09,,,,,,Ho Chi Minh
105,,YT,4042227044.0,2022-12-23,2023-01-30,,ĐỊA ĐIỂM KINH DOANH CAFÉ KATINAT ĐẶNG VĂN BI- CÔNG TY CỔ PHẦN CAFÉ KATINAT,ĐINH VIỆT HÀ,"168 Đặng Văn Bi, Khu phố 1",Bình Thọ,Thủ Đức,,Kinh doanh dịch vụ ăn uống,105,2023-01-09,,,,,,Ho Chi Minh
106,,YT,4042226892.0,2022-12-20,2023-01-18,,ĐỊA ĐIỂM KINH DOANH SỐ 105 - CHI NHÁNH TẠI THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ TACO VIỆT NAM,TRƯƠNG THỊ THANH HUYỀN,"12 Lê Văn Khương, Khu phố 1",Thới An,12,,Kinh doanh dịch vụ ăn uống,106,2023-01-09,,,,,,Ho Chi Minh
107,,YT,4042226900.0,2022-12-20,2023-01-18,,CÔNG TY TNHH NHÀ HÀNG ẨM THỰC ĐẢO NGỌC,LÊ VĂN CHƯƠNG,"89 Nguyễn Thị Búp, Khu phố 11",Tân Chánh Hiệp,12,,Kinh doanh dịch vụ ăn uống,107,2023-01-09,,,,,,Ho Chi Minh
108,,YT,4042227004.0,2022-12-20,2023-01-18,,CÔNG TY TNHH SÔNG XƯA,NGUYỄN THỊ KIM LOAN,806/19 Hà Huy Giáp,Thạnh Lộc,12,,Kinh doanh dịch vụ ăn uống,108,2023-01-09,,,,,,Ho Chi Minh
109,,YT,4042226106.0,2023-01-04,2023-02-08,,ĐỊA ĐIỂM KINH DOANH CH0003- CÔNG TY TNHH THƯƠNG MẠI SASIN,ĐỖ XUÂN TUẤN,11 Nguyễn Gia Trí,25,Bình Thạnh,,Kinh doanh dịch vụ ăn uống,109,2023-01-09,,,,,,Ho Chi Minh
110,,YT,4042226902.0,2023-01-04,2023-02-07,,CÔNG TY CỔ PHẦN THƯƠNG MẠI HẢI SẢN HẢI CHÂU,NGÔ ĐỨC TRỌNG,67 Nguyễn Hữu Cảnh,22,Bình Thạnh,,Kinh doanh dịch vụ ăn uống,110,2023-01-09,,,,,,Ho Chi Minh
111,,YT,4042227035.0,2022-12-22,2023-01-20,,CÔNG TY CỔ PHẦN SIM FOOD,TRẦN THỊ THỦY,"P2-SH.05A Tòa Park 2 Vinhomes Central Park, 720A Điện Biên Phủ",22,Bình Thạnh,,Kinh doanh dịch vụ ăn uống,111,2023-01-09,,,,,,Ho Chi Minh
112,,YT,4042226551.0,2022-12-22,2023-01-20,,CÔNG TY TNHH HILALA,ĐỖ NGUYỄN LAN ANH,Số 9 Hoàng Hoa Thám,6,Bình Thạnh,,Kinh doanh dịch vụ ăn uống,112,2023-01-09,,,,,,Ho Chi Minh
113,,YT,4042226532.0,2023-01-04,2023-02-08,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH KIẾN NGUYỄN DECOR - CỬA HÀNG 313C TRỊNH ĐÌNH TRỌNG,TRẦN THỊ XUÂN MAI,313C Trịnh Đình Trọng,Hòa Thạnh,Tân Phú,,Kinh doanh dịch vụ ăn uống,113,2023-01-09,,,,,,Ho Chi Minh
114,,YT,4042227068.0,2022-12-26,2023-01-31,,ĐỊA ĐIỂM KINH DOANH SỐ 103 - CHI NHÁNH TẠI THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ TACO VIỆT NAM,TRƯƠNG THỊ THANH HUYỀN,D32 Cư Xá Phú Lâm B,13,6,,Kinh doanh dịch vụ ăn uống,114,2023-01-09,,,,,,Ho Chi Minh
115,,YT,4042227011.0,2022-12-23,2023-01-30,,ĐỊA ĐIỂM KINH DOANH 01 - CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KIWI,LÊ HOÀNG,487 Nguyễn Tri Phương,8,10,,Kinh doanh dịch vụ ăn uống,115,2023-01-09,,,,,,Ho Chi Minh
116,,YT,4042227080.0,2022-12-22,2023-01-20,,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ BIYOKI,NGUYỄN THỊ THANH HẰNG,Số 304 Minh Phụng,2,11,,Kinh doanh dịch vụ ăn uống,116,2023-01-09,,,,,,Ho Chi Minh
117,,YT,4042227121.0,2022-12-27,2023-02-01,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN CÀ PHÊ PHOENIX GROUP - QUÁN CÀ PHÊ PHOENIX 1,TRẦN HỮU TÙNG,39 Đường số 3,Bình Hừng Hòa B,Bình Tân,,Kinh doanh dịch vụ ăn uống,117,2023-01-09,,,,,,Ho Chi Minh
118,,YT,4042227032.0,2023-12-22,2023-01-20,,NHÀ HÀNG PIZZA HUT - LÊ TRỌNG TẤN,LIN KENG CHOR,Số 702-702 A Lê Trọng Tấn,Bình Hừng Hòa,Bình Tân,,Kinh doanh dịch vụ ăn uống,118,2023-01-09,,,,,,Ho Chi Minh
119,,YT,4042226373.0,2023-01-04,2023-02-08,,CÔNG TY TNHH O.BONG.ZIP,PARK KIWAN,Số 28 Đường Số 6 Khu Phố Hưng Vượng II,Tân Phong,7,,Kinh doanh dịch vụ ăn uống,119,2023-01-09,,,,,,Ho Chi Minh
120,,YT,4042227070.0,2022-12-23,2023-01-30,,CỬA HÀNG LOTTERIA LÊ QUANG ĐỊNH,LEE WOO JU,346B Lê Quang Định,11,Bình Thạnh,,Kinh doanh dịch vụ ăn uống,120,2023-01-09,,,,,,Ho Chi Minh
121,,YT,4042227084.0,2022-12-26,2023-01-31,,ĐỊA ĐIỂM KINH DOANH CỦA CÔNG TY TNHH JOLLIBEE VIỆT NAM – CỬA HÀNG THỨC ĂN NHANH JOLLIBEE ÂU CƠ,LÂM HỒNG NGUYỄN,650 Đường Âu Cơ,10,Tân Bình,,Kinh doanh dịch vụ ăn uống,121,2023-01-09,,,,,,Ho Chi Minh
122,,YT,4042226744.0,2023-01-04,2023-02-08,,ĐỊA ĐIỂM KINH DOANH - CÔNG TY TNHH TÊ TÊ & PHÊ QUÁN,NGUYỄN THỤY HỒNG HẢI,"Tầng trệt - Tầng 1, 186 Đặng Văn Ngữ",13,Phú Nhuận,,Kinh doanh dịch vụ ăn uống,122,2023-01-09,,,,,,Ho Chi Minh
123,,YT,4042227052.0,2022-12-21,2023-01-19,,HỘ KINH DOANH BÁNH YÊU,TRƯƠNG THỊ HÒA,"79/1 đường Bà Điểm 5, ấp Tây Lân",Bà Điểm,Hóc Môn,,"Chiết rót, đóng gói hương liệu thực phẩm",123,2023-01-09,,,,,,Ho Chi Minh
124,,YT,4042226678.0,2022-12-22,2023-01-20,,CHI NHÁNH HUYỆN HÓC MÔN TẠI THÀNH PHỐ HỒ CHÍ MINH CÔNG TY TNHH SẢN XUẤT - THƯƠNG MẠI- CÔNG NGHỆ XUẤT NHẬP KHẨU MINH KIẾM,LÊ TRỌNG CẦN,"15/1E, ấp Tam Đông 1",Thới Tam Thôn,Hóc Môn,,Sản xuất nước uống đóng bình,124,2023-01-09,,,,,,Ho Chi Minh
125,,YT,4042226498.0,2023-01-03,2023-02-06,,CHI NHÁNH SỐ 2 - CÔNG TY CỔ PHẦN CUNG ỨNG THỰC PHẨM JETCATERING,NGUYỄN NGỌC HIẾN,371 Nguyễn Kiệm,3,Gò Vấp,,Kinh doanh dịch vụ ăn uống,125,2023-01-09,,,,,,Ho Chi Minh
126,,YT,4042227008.0,2022-12-22,2023-01-20,,CHI NHÁNH CÔNG TY TNHH DỊCH VỤ SUJU,VŨ TRỌNG NGHĨA,"Tầng 8, 149 - 151 Nguyễn Du",Bến Thành,1,,Kinh doanh dịch vụ ăn uống,126,2023-01-09,,,,,,Ho Chi Minh
127,,YT,4042227007.0,2022-12-23,2023-01-30,,ĐỊA ĐIỂM KINH DOANH 2  - CÔNG TY TNHH TOKYO LAND F&B,TAKAYAMA KAZUNORI,7/1 Lê Thánh Tôn,Bến Nghé,1,,Kinh doanh dịch vụ ăn uống,127,2023-01-09,,,,,,Ho Chi Minh
128,,YT,4042226730.0,2022-12-23,2023-01-30,,ĐỊA ĐIỂM KINH DOANH  - CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT PRODUCT PROGRESSION INTERNATIONL - XƯỞNG ĐÓNG GÓI THỰC PHẨM,TRƯƠNG VÀNH KHUYÊN,179 Phong Phú,11,8,,"Phối trộn, đóng gói: nguyên liệu thực phẩm, phụ gia thực phẩm",128,2023-01-09,,,,,,Ho Chi Minh
129,,YT,4042227100.0,2022-12-28,2023-02-02,,CÔNG TY TNHH WORK EASY,LÊ HUỲNH MAI,"Phòng 201, Tầng 2, Tòa nhà Saigon Paragon, Số 3 Nguyễn Lương Bằng",Tân Phú,7,,Kinh doanh dịch vụ ăn uống,129,2023-01-09,,,,,,Ho Chi Minh
130,,YT,4042227034.0,2022-12-26,2023-01-31,,RUNAM - ART OF GIFTING - ĐỊA ĐIỂM KINH DOANH CHI NHÁNH 7 CÔNG TY CỔ PHẦN NISO,NGUYỄN HỮU TƯỜNG,135 Hai Bà Trưng ,Bến Nghé,1,,Kinh doanh dịch vụ ăn uống,130,2023-01-09,,,,,,Ho Chi Minh
131,,YT,4042227049.0,2022-12-27,2023-02-01,,CHI NHÁNH CÔNG TY TNHH LÉFÊ,NGUYỄN TRẦN DŨNG,"Tầng 5, số 8A/A23 Thái Văn Lung ",Bến Nghé,1,,Kinh doanh dịch vụ ăn uống,131,2023-01-09,,,,,,Ho Chi Minh
132,,YT,4042227126.0,2022-12-27,2023-02-01,,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ REGAL,PHẠM TRƯỞNG THÀNH,29 Lê Thánh Tôn ,Bến Nghé,1,,Kinh doanh dịch vụ ăn uống,132,2023-01-09,,,,,,Ho Chi Minh
133,,YT,4042227064.0,2022-12-27,2023-02-01,,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ - NHÀ HÀNG GIAI ĐIỆU MỚI-NHÀ HÀNG VOXXY,NGUYỄN TẤN QUỐC,62/48/1 Trần Hưng Đạo ,Phạm Ngũ Lão,1,,Kinh doanh dịch vụ ăn uống,133,2023-01-09,,,,,,Ho Chi Minh
134,,YT,4042226966.0,2023-01-04,2023-02-08,,CHI NHÁNH CÔNG TY TNHH XÂY DỰNG KINH DOANH NHÀ VÀ KHÁCH SẠN THÁI BÌNH,DIỆP THỊ KIM MAI,01 Phạm Viết Chánh,Nguyễn Cư Trinh,1,,Kinh doanh dịch vụ ăn uống,134,2023-01-09,,,,,,Ho Chi Minh
135,,YT,4042226920.0,2023-01-04,2023-02-08,,CÔNG TY TNHH NHÀ HÀNG CÔ BỐNG,NGUYỄN THU HÀ,31 Trần Hưng Đạo,Nguyễn Thái Bình,1,,Kinh doanh dịch vụ ăn uống,135,2023-01-09,,,,,,Ho Chi Minh
136,,YT,4042227143.0,2022-12-26,2023-01-31,,CÔNG TY TNHH DACO GREEN,HOÀNG SAO XINH,"SAV.2-00.04 Tầng trệt, Tháp 2, The Sun Avenue, Số 28 Đại lộ Mai Chí Thọ",An Phú,Thủ Đức,,Kinh doanh dịch vụ ăn uống,136,2023-01-09,,,,,,Ho Chi Minh
137,,YT,4042227152.0,2022-12-27,2023-02-01,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH GLOBAL FRESH MEAT - BBQ PLAN K,LÊ NHƯ UYÊN,175 Đường Xa Lộ Hà Nội,Thảo Điền,Thủ Đức,,Kinh doanh dịch vụ ăn uống,137,2023-01-09,,,,,,Ho Chi Minh
138,,YT,4042226823.0,2022-12-27,2023-02-01,,CÔNG TY TNHH MOMIJI - LÁ PHONG,NGUYỄN TRẦN NHẬT QUỲNH,Số 4 Lê Văn Miến,Thảo Điền,Thủ Đức,,Kinh doanh dịch vụ ăn uống,138,2023-01-09,,,,,,Ho Chi Minh
139,,YT,4042227081.0,2022-12-27,2023-02-01,,CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU TÂM BÌNH AN,NGUYỄN VĂN HƯỞNG,"Tầng trệt, cao ốc An Khánh, 52 Song Hành",An Phú,Thủ Đức,,Kinh doanh dịch vụ ăn uống,139,2023-01-09,,,,,,Ho Chi Minh
140,,YT,4042227039.0,2022-12-26,2023-01-31,,ĐỊA ĐIỂM KINH DOANH WAYNE'S COFFEE MIZUKI - CÔNG TY CỔ PHẦN ARYA CONSUMER,ĐINH NGUYÊN DŨNG,"23, đường số 4, Khu dân cư Nguyên Sơn, Ấp 3A",Bình Hưng,Bình Chánh,,Kinh doanh dịch vụ ăn uống,140,2023-01-09,,,,,,Ho Chi Minh
141,,CT,,2022-12-23,2023-01-30,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN THƯƠNG MẠI BÁCH HÓA XANH - CỬA HÀNG BÁCH HÓA XANH SỐ 289,NÔNG VĂN DŨNG,"Số 126 - 128 - 132 Đường Dương Thị Mười, Khu phố 3A",Tân Thới Hiệp,12,,Bán lẻ nhóm sản phẩm theo danh mục,141,2023-01-09,,,,,,Ho Chi Minh
142,,CT,,2022-12-26,2023-01-31,,ĐỊA ĐIỂM KINH DOANH CỬA HÀNG VISSAN - CHI NHÁNH CÔNG TY CỔ PHẦN VIỆT NAM KỸ NGHỆ SÚC SẢN - TRUNG TÂM KINH DOANH CHUỖI CỬA HÀNG VISSAN,LÊ THỊ HOÀNG NGÂN,754 Xô Viết Nghệ Tĩnh,25,Bình Thạnh,,Bán lẻ nhóm sản phẩm theo danh mục,142,2023-01-09,,,,,,Ho Chi Minh
143,,"CT, YT",,2022-12-28,2023-02-02,,ĐỊA ĐIỂM KINH DOANH CỬA HÀNG SỐ 323 - CÔNG TY TNHH VÒNG TRÒN ĐỎ,CHEUNG YIU KWONG,14 Ung Văn Khiêm,25,Bình Thạnh,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống ,143,2023-01-09,,,,,,Ho Chi Minh
144,,"CT, YT",,2022-12-28,2023-02-02,,CỬA HÀNG TIỆN LỢI MINISTOP SỐ 150 - CÔNG TY TNHH MINISTOP VIỆT NAM,HOÀNG THU HƯỜNG,114 Bùi Đình Túy,12,Bình Thạnh,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống ,144,2023-01-09,,,,,,Ho Chi Minh
145,,YT,,2022-12-26,2023-01-31,,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NHÀ HÀNG LẨU FARM,ĐINH VĂN MẠNH,31 Yên Thế,2,Tân Bình,,Kinh doanh dịch vụ ăn uống,145,2023-01-09,,,,,,Ho Chi Minh
146,,"CT, YT",,2022-12-23,2023-01-30,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN SEVEN SYSTEM VIỆT NAM ,VŨ THANH TÚ,479 An Dương Vương,8,5,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,146,2023-01-09,,,,,,Ho Chi Minh
147,,NN,,2022-12-27,2023-01-18,,HỘ KINH DOANH XINH XINH,,4 Thăng Long,4,Tân Bình,,"Cắt, đóng gói: thịt heo, thịt bò đông lạnh",147,2023-01-09,,,,,,Ho Chi Minh
148,,"CT, NN, YT",,2022-12-27,2023-02-01,,ĐỊA ĐIỂM KINH DOANH WINMART BÀU CÁT - CHI NHÁNH HỒ CHÍ MINH - CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TỔNG HỢP WINCOMMERCE,PHẠM THỊ THU HƯƠNG,"Tầng trệt, Lô M, Chung cư Bàu Cát 2, Vườn Lan",10,Tân Bình,,"Bán lẻ nhóm sản phẩm theo danh mục; Sơ chế, đóng gói: rau, củ, quả; Kinh doanh dịch vụ ăn uống",148,2023-01-09,,,,,,Ho Chi Minh
149,,"CT, YT",,2022-12-27,2023-02-01,,CỬA HÀNG TIỆN LỢI MINISTOP SỐ 195 - ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH MINISTOP VIỆT NAM,HOÀNG THU HƯỜNG,96 Huỳnh Văn Nghệ,15,Tân Bình,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,149,2023-01-09,,,,,,Ho Chi Minh
150,,NN,,2022-12-28,2023-01-19,,CÔNG TY TNHH NHÀ HÀNG LÁ TÍA TÔ,,23 Lê Trung Nghĩa,12,Tân Bình,303049149.0,"Đóng gói: gạo, đậu, hạt, đường, muối, nước mắm chay, nước tương; Đóng gói: bột, bánh, dầu ăn; Kinh doanh dịch vụ ăn uống",150,2023-01-09,,,,,,Ho Chi Minh
151,,NN,,2022-12-28,2023-01-19,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TRÁCH NHIỆM HỮU HẠN JAPFA COMFEED VIỆT NAM - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH - CỬA HÀNG AN DƯƠNG VƯƠNG,,Số 351 đường An Dương Vương,3,5,,"Kinh doanh: thịt heo, thịt gà",151,2023-01-09,,,,,,Ho Chi Minh
